label,LDA1
ankle-grip-bow-and-arrow,24.29023350701859
armpit-hold-dart,-0.6328010627628208
armpit-hold-forward-pike,-42.910539635679626
armpit-hold-front-split,-4.807372590963782
armpit-hold-passe,11.544502678335443
armpit-hold-scorpion,-5.783818192220446
armpit-hold-seated,-44.512163300962065
back-hold-allergra,-13.569852872557748
back-hold-allergra-split,0.0826603094515464
baseball-back-support-grip-foward-pike,-47.83118753217309
baseball-back-support-grip-tuck,-56.39280909441088
bridge,11.66159157848921
chair-passe,-17.819326807668247
chair-pike,-51.68510589529947
chair-seated,-43.753387991065864
cross-grip-straddle,-1.2487792566083216
crossed-knee-layback,48.76453890452642
crossed-knee-release,55.3771563122157
crossed-knee-stargazer,44.76621158625356
elbow-grip-butterfly,40.93470934423436
elbow-grip-fang,74.4557042807479
elbow-grip-inverted-ayesha,55.62904629193315
elbow-grip-pencil,18.967858151344863
elbow-grip-seated,-28.61623667179009
elbow-grip-straddle,1.2166482831050485
fang-bracket-grip,-42.15341310792795
fireman-half-pike,-33.197226091363945
fireman-hollywood,-30.234967082487994
fireman-knee-hold,-42.521285763920524
fireman-piker,-41.486986276973326
fireman-seat,-45.418829766034136
flag-grip-pencil,31.618280487764576
flag-grip-straddle,9.13327267582417
forearm-grip-inverted-pencil,30.054200900936767
forearm-grip-pencil,-8.778550667381213
forearm-grip-side-spin,-67.95674516338063
forearm-grip-stag,-77.55503119512224
handstand-bridged,54.15212531108611
handstand-butterfly,18.02116336115565
handstand-floor-handspring,61.545643213246564
handstand-forearm-attitude,22.305973729648688
handstand-forearm-bow-and-arrow,-2.843551102198438
handstand-forearm-fang,51.5336391724232
handstand-forearm-passe,11.76386916800318
handstand-forearm-pencil,-4.0875150829558855
handstand-onehand,15.11268095194615
handstand-pole,19.19864842493833
handstand-split,15.647300695544613
handstand-tucked,71.22809673964835
hook-knee-one-hand,-5.100451609787115
hook-knee-two-hands,-27.7758483212682
iguana-grip-bow-and-arrow,3.1068812642983583
iguana-grip-fang,45.32417513654506
iguana-grip-inverted-v,29.934532247189097
iguana-grip-pencil,2.4610806004777057
iguana-grip-pixie,23.614973429673608
knee-hold-bridge,63.85856657660398
knee-hold-cupid,-2.3050075419665523
