label,LDA1
ankle-grip-bow-and-arrow,19.694551747707777
armpit-hold-dart,2.019112532645587
armpit-hold-forward-pike,-40.83101179612785
armpit-hold-front-split,-2.7294506472297844
armpit-hold-passe,14.649335926014114
armpit-hold-scorpion,-3.241321544300222
armpit-hold-seated,-42.8301602099751
back-hold-allergra,-12.196805763582786
back-hold-allergra-split,1.36334324225677
baseball-back-support-grip-foward-pike,-40.518833660121615
baseball-back-support-grip-tuck,-49.96086024383381
bridge,6.87339012382754
chair-passe,-15.783758032660867
chair-pike,-50.205090938560545
chair-seated,-40.805028717821365
cross-grip-straddle,0.41564248731427134
crossed-knee-layback,42.973447282537194
crossed-knee-release,49.289940607307926
crossed-knee-stargazer,39.861835334231806
elbow-grip-butterfly,33.95739996367146
elbow-grip-fang,68.37729264330093
elbow-grip-inverted-ayesha,50.70136831943674
elbow-grip-pencil,16.55981824761092
elbow-grip-seated,-29.09455075657371
elbow-grip-straddle,1.1001340843037857
fang-bracket-grip,-43.919988839628076
fireman-half-pike,-30.11370977119768
fireman-hollywood,-27.59013933639426
fireman-knee-hold,-39.426237908668874
fireman-piker,-37.57093624062045
fireman-seat,-42.605171402421774
flag-grip-pencil,23.536582592111184
flag-grip-straddle,3.300242065864339
forearm-grip-inverted-pencil,23.91595586084234
forearm-grip-pencil,-7.308364114456406
forearm-grip-side-spin,-65.48246168408636
forearm-grip-stag,-73.7167074460468
handstand-bridged,47.405908873252415
handstand-butterfly,11.953539782512214
handstand-floor-handspring,55.379391516816796
handstand-forearm-attitude,18.341785785143248
handstand-forearm-bow-and-arrow,-7.784218542642743
handstand-forearm-fang,46.3856998117305
handstand-forearm-passe,8.314478960878859
handstand-forearm-pencil,-6.456684333152109
handstand-onehand,10.716012557656732
handstand-pole,14.016963973219012
handstand-split,10.65335907837449
handstand-tucked,64.58563776998469
hook-knee-one-hand,-1.34989232298231
hook-knee-two-hands,-21.36934222186509
iguana-grip-bow-and-arrow,-1.4049863567599479
iguana-grip-fang,40.13168814050189
iguana-grip-inverted-v,27.96466923617389
iguana-grip-pencil,1.4067104507697437
iguana-grip-pixie,20.55685516141709
knee-hold-bridge,56.92685430007854
knee-hold-cupid,0.45719795488694104
knee-hold-daredevil,-0.5284339163831278
knee-hold-genie,1.7190451959721533
knee-hold-genie-release,6.0829577801233405
knee-hold-marley,-11.663167252417459
knee-hold-marley-release,-19.484777184360233
knee-hold-one-knee-genie,-43.377623505781195
knee-hold-remi-sit,-57.83062466299624
knee-hold-remi-sit-release,-42.785207474455234
knee-hook-back,-43.41169484066327
knee-hook-front,-32.53331279978925
leg-hang-gemini,28.721789381268536
leg-hang-gemini-foot-hold,26.21387652600381
leg-hang-needle,39.21417166768139
leg-hang-scorpion,4.437716106792885
leg-hang-scorpion-flatliner,-27.07249433299971
leg-hang-scorpion-hold,18.631130625280928
leg-hold-crucifix,3.330772949884361
leg-hold-inverted-crucifix,8.299524816109711
leg-hold-inverted-crucifix-release,-4.574315715779899
one-hand-pencil,-10.51977470613048
one-hand-twisted-lateral-spin,-23.647231223607946
one-hand-twisted-spin-rght,-44.8765290382463
outside-knee-hook-inverted,53.15726726424858
outside-knee-hook-jasmine,31.3286045471415
pole-walk,-18.068298701465707
reverse-grab-attitude,-55.17480164472337
reverse-grab-ballerina,-31.70693811152987
reverse-grab-fang,-41.31087502389145
reverse-grab-pencil,-27.854846531374093
reverse-grab-straddle,-33.25799991044536
shoulder-mount,0.5122772222916139
shoulder-mount-attitude,-1.3152422780634507
shoulder-mount-hangman,5.563880005094778
shoulder-mount-jack-knife,33.008644958883536
shoulder-mount-kick,-5.048645918570211
shoulder-mount-lock,7.997548422062504
shoulder-mount-pencil,4.4056935755444275
shoulder-mount-plank,5.590400039213085
shoulder-mount-plank-passe-hold,-10.541228449875145
shoulder-mount-princess-grip-straddle,32.31686965902152
shoulder-mount-split,-24.063186182113565
shoulder-mount-straddle,43.54008504457276
shoulder-mount-tuck,11.172738386339184
split-grip-apprentice,-12.592636502401643
split-grip-backward-split,-5.229573440112657
split-grip-cupid,5.978285287550467
split-grip-front-split,-14.848993332212691
split-grip-inverted-butterfly,42.38229946168629
split-grip-inverted-butterfly-extended,24.330059848929885
split-grip-inverted-d,31.04633183587477
split-grip-inverted-fang,67.7928877637384
split-grip-inverted-pencil,22.83345260159645
split-grip-pancake-split,-12.029762832612967
split-grip-pencil,-29.83133265962793
split-grip-side-spin,-37.81475545889052
split-grip-side-v,-6.070717837734409
split-grip-stag,-42.12656054890729
split-grip-straddle,-35.18380587608731
split-grip-tucked-passe,4.451733998590654
split-grip-tucked-spin,0.903388509197651
stomach-hold-duchess-passe,0.537437244484414
stomach-hold-front-split,15.376010261852748
stomach-hold-inverted-pike,76.66252302893957
stomach-hold-inverted-tuck,27.17855121557295
stomach-hold-passe-spaceflight,-20.554496182439575
stomach-hold-vertical-duchess,-5.42034837461687
strong-hold-corkscrew,-34.166191474072605
strong-hold-fang,-39.27306216629233
strong-hold-inverted-split,-8.40646729512536
strong-hold-inverted-straddle,34.96816639601847
strong-hold-inverted-tuck,29.904450476119013
strong-hold-side-split,1.5306929512292218
strong-hold-straddle,-58.40490934552742
superman,-76.1283944392642
superman-armpit-grip,-11.186155499974808
superman-scissors,-25.739770124108688
thigh-hold-crescent-moon,22.53012800707546
thigh-hold-dragon-fly,36.8702027324846
thigh-hold-dragonfly-crossed,23.463894047043134
thigh-hold-release,22.26534682837178
tuck-hold,45.9368345528509
twisted-grip-inverted-straddle,78.73175379954884
wrist-sit-straddle,-11.314494056896699
