label,lda_logr_classes,lda_logr_distances,lda_gini_classes,lda_gini_distances,lda_perm_classes,lda_perm_distances,lda_shap_classes,lda_shap_distances,lda_uppr_classes,lda_uppr_distances,lda_lowr_classes,lda_lowr_distances,lda_allf_classes,lda_allf_distances
ankle-grip-bow-and-arrow,"['iguana-grip-pixie', 'shoulder-mount-princess-grip-straddle', 'shoulder-mount-jack-knife']","[0.6752600773449835, 1.0163304507813002, 1.4897958458596925]","['iguana-grip-pixie', 'shoulder-mount-princess-grip-straddle', 'thigh-hold-crescent-moon']","[1.33361630646095, 1.3570916882696764, 1.6084129276396553]","['pole-walk', 'strong-hold-inverted-straddle', 'split-grip-front-split']","[0.12458079451105375, 0.396506771605897, 0.560777330943544]","['iguana-grip-pixie', 'leg-hang-scorpion-hold', 'handstand-forearm-attitude']","[0.8623034137093128, 1.063421122426849, 1.3527659625645292]","['thigh-hold-release', 'armpit-hold-passe', 'elbow-grip-pencil']","[0.39199011636848624, 0.4497208821530201, 0.8790089275166366]","['shoulder-mount-attitude', 'thigh-hold-crescent-moon', 'elbow-grip-pencil']","[0.34785378996869554, 1.0128012395950492, 1.0810509112153923]","['shoulder-mount-tuck', 'thigh-hold-release', 'split-grip-inverted-butterfly-extended']","[0.4560957823097773, 0.5665107649607748, 1.089957414150586]"
armpit-hold-dart,"['cross-grip-straddle', 'shoulder-mount', 'back-hold-allergra-split']","[0.6159781938455008, 0.6311801257701267, 0.7154613722143672]","['shoulder-mount-pencil', 'back-hold-allergra-split', 'leg-hold-inverted-crucifix-release']","[0.03834745521617866, 0.0870830119892061, 1.2537934539122386]","['shoulder-mount-plank-passe-hold', 'one-hand-twisted-lateral-spin', 'forearm-grip-pencil']","[0.08636693299373022, 0.20287006974143607, 0.26926790341465967]","['knee-hold-genie', 'strong-hold-side-split', 'iguana-grip-pencil']","[0.3000673366734339, 0.4884195814163652, 0.6124020818758433]","['split-grip-tucked-passe', 'leg-hold-inverted-crucifix', 'back-hold-allergra-split']","[0.12886787326583304, 0.19659692539695195, 0.5188271304328018]","['shoulder-mount-lock', 'handstand-onehand', 'shoulder-mount']","[0.1384138023340089, 0.1990256973515594, 1.0621100811080817]","['stomach-hold-duchess-passe', 'knee-hold-genie-release', 'split-grip-tucked-spin']","[0.1280464466657243, 0.5193928172493679, 0.8615669464175066]"
armpit-hold-forward-pike,"['fireman-knee-hold', 'fang-bracket-grip', 'chair-seated']","[0.3892538717590952, 0.757126527751673, 0.8428483553862307]","['knee-hold-remi-sit-release', 'chair-seated', 'knee-hold-one-knee-genie']","[0.07102431581648005, 0.392005497905366, 1.2947417308680116]","['split-grip-pancake-split', 'elbow-grip-inverted-ayesha', 'stomach-hold-front-split']","[0.007989192905244025, 0.01926350154030043, 0.09663988059940998]","['chair-seated', 'baseball-back-support-grip-foward-pike', 'reverse-grab-fang']","[0.02598307830648139, 0.31217813600623145, 0.4798632277636017]","['baseball-back-support-grip-foward-pike', 'armpit-hold-seated', 'chair-seated']","[0.725398018523812, 0.9455457832532801, 1.2070545089286995]","['split-grip-straddle', 'fireman-seat', 'knee-hold-remi-sit']","[1.5998309246321298, 1.7392715805103904, 3.214550276798743]","['split-grip-side-spin', 'knee-hook-front', 'fireman-knee-hold']","[0.6405443449137707, 0.8361149059726785, 1.7609053939895958]"
armpit-hold-front-split,"['hook-knee-one-hand', 'stomach-hold-vertical-duchess', 'shoulder-mount-attitude']","[0.29307901882333276, 0.5142541794495248, 0.6013450730034995]","['strong-hold-inverted-split', 'split-grip-backward-split', 'knee-hold-cupid']","[0.051761803629277736, 0.21420043094620755, 0.6193335717771276]","['shoulder-mount-plank', 'leg-hold-inverted-crucifix-release', 'split-grip-pencil']","[0.010343999726350361, 0.03140761621026922, 0.1263773199015974]","['armpit-hold-scorpion', 'iguana-grip-bow-and-arrow', 'hook-knee-one-hand']","[0.5118708970704375, 1.3244642904698363, 1.3795583242474743]","['split-grip-side-v', 'knee-hold-daredevil', 'handstand-forearm-pencil']","[0.16192280683415206, 0.42650523369767956, 0.7268067622820862]","['shoulder-mount-hangman', 'handstand-split', 'armpit-hold-scorpion']","[0.12082794915658068, 0.3351543035509157, 0.7641991731255029]","['handstand-forearm-bow-and-arrow', 'leg-hold-inverted-crucifix-release', 'handstand-forearm-pencil']","[0.24015470929530114, 1.1038313078735014, 1.726009236701029]"
armpit-hold-passe,"['bridge', 'handstand-forearm-passe', 'split-grip-tucked-passe']","[0.11708890015376561, 0.21936648966773653, 2.0738631924747715]","['knee-hold-genie-release', 'flag-grip-straddle', 'handstand-forearm-passe']","[0.20822700316197462, 0.3389366093591182, 0.6427178708442369]","['knee-hold-marley-release', 'stomach-hold-duchess-passe', 'handstand-bridged']","[0.0767847822112363, 0.1295120845510745, 0.15757835493523342]","['handstand-pole', 'stomach-hold-front-split', 'elbow-grip-pencil']","[0.6323719527951024, 0.7266743358386343, 1.910482321596806]","['elbow-grip-pencil', 'ankle-grip-bow-and-arrow', 'leg-hang-scorpion-hold']","[0.42928804536361653, 0.4497208821530201, 0.6396196633203175]","['shoulder-mount-tuck', 'shoulder-mount-jack-knife', 'strong-hold-inverted-straddle']","[0.1538297927499741, 1.0491143578556645, 1.3337097230540849]","['shoulder-mount-princess-grip-straddle', 'flag-grip-pencil', 'forearm-grip-inverted-pencil']","[4.521870125273608e-05, 0.24352814410612567, 0.3484046912034948]"
armpit-hold-scorpion,"['shoulder-mount-attitude', 'stomach-hold-vertical-duchess', 'strong-hold-inverted-split']","[0.37510052825316453, 0.46219142180713924, 0.615954649634868]","['shoulder-mount-attitude', 'hook-knee-one-hand', 'handstand-forearm-bow-and-arrow']","[1.1319457099274235, 1.2255211515216065, 1.2365975817932178]","['shoulder-mount-straddle', 'reverse-grab-fang', 'split-grip-tucked-passe']","[0.013713032458196439, 0.01585344861607485, 0.2975249305268688]","['armpit-hold-front-split', 'leg-hold-inverted-crucifix-release', 'shoulder-mount-kick']","[0.5118708970704375, 1.332994171479677, 1.8073243742699887]","['shoulder-mount-attitude', 'strong-hold-side-split', 'stomach-hold-duchess-passe']","[0.036603965771934366, 0.16197232973638043, 0.25125439652230863]","['handstand-split', 'shoulder-mount-pencil', 'shoulder-mount-hangman']","[0.4290448695745872, 0.5523649500073917, 0.6433712239689222]","['split-grip-side-v', 'strong-hold-inverted-split', 'handstand-forearm-pencil']","[0.047809053933523415, 0.630286393633968, 0.6442173096651445]"
armpit-hold-seated,"['one-hand-twisted-spin-rght', 'knee-hold-remi-sit-release', 'chair-seated']","[0.004701821389133443, 0.5637858706151704, 0.7587753098962153]","['fireman-seat', 'knee-hook-back', 'knee-hold-remi-sit-release']","[0.3428164926648094, 0.6788610460199962, 1.5850907735375088]","['leg-hang-gemini-foot-hold', 'reverse-grab-ballerina', 'leg-hang-gemini']","[0.029680703861727054, 0.05501202971741126, 0.15427834826669073]","['knee-hold-remi-sit-release', 'fireman-seat', 'knee-hold-one-knee-genie']","[0.04495273551986401, 0.2249888075533235, 0.5474632958061036]","['baseball-back-support-grip-foward-pike', 'fireman-piker', 'armpit-hold-forward-pike']","[0.22014776472946807, 0.8095915548581516, 0.9455457832532801]","['baseball-back-support-grip-tuck', 'leg-hang-scorpion-flatliner', 'elbow-grip-seated']","[0.5706967549232616, 1.6513962545365501, 1.723043893063938]","['fireman-half-pike', 'elbow-grip-seated', 'one-hand-twisted-lateral-spin']","[0.7172739413243647, 0.817659411199795, 0.9213481141626509]"
back-hold-allergra,"['split-grip-front-split', 'split-grip-apprentice', 'superman-armpit-grip']","[0.22213994544330617, 0.6123691740430885, 1.0013509428690153]","['split-grip-front-split', 'split-grip-apprentice', 'superman-armpit-grip']","[0.20831101111489048, 0.5311514543547506, 0.7316699256513459]","['leg-hold-crucifix', 'split-grip-apprentice', 'shoulder-mount-lock']","[0.16937864691186744, 0.26255733338719933, 0.3542586312993521]","['split-grip-pancake-split', 'split-grip-apprentice', 'knee-hold-marley']","[0.16704293096981715, 0.39583073881885866, 0.533638511165325]","['shoulder-mount-plank-passe-hold', 'split-grip-pancake-split', 'one-hand-pencil']","[0.5384722586892874, 0.5405027442535761, 0.635205792020594]","['handstand-forearm-pencil', 'chair-passe', 'one-hand-pencil']","[0.11629989636512406, 0.3179791958064584, 0.4320475883666539]","['superman-armpit-grip', 'chair-passe', 'split-grip-front-split']","[0.15529807652413297, 0.610910606119802, 0.7021479622507769]"
back-hold-allergra-split,"['shoulder-mount', 'shoulder-mount-plank', 'split-grip-tucked-spin']","[0.0842812464442404, 0.10222477411168629, 0.3397147274007475]","['armpit-hold-dart', 'shoulder-mount-pencil', 'cross-grip-straddle']","[0.0870830119892061, 0.12543046720538475, 1.242309160507737]","['split-grip-pencil', 'shoulder-mount-plank', 'armpit-hold-front-split']","[0.012983672977903815, 0.12901699315315085, 0.1393609928795012]","['iguana-grip-pencil', 'strong-hold-side-split', 'elbow-grip-straddle']","[0.04336720851297371, 0.16734970897245183, 0.2632091579529843]","['shoulder-mount-pencil', 'shoulder-mount-plank', 'bridge']","[0.19008339817593267, 0.20706286597856494, 0.28519315140042245]","['stomach-hold-inverted-tuck', 'shoulder-mount-pencil', 'flag-grip-straddle']","[0.036904289643368005, 0.1462851325702923, 0.22620776503356677]","['iguana-grip-bow-and-arrow', 'split-grip-tucked-spin', 'cross-grip-straddle']","[0.09677108213547769, 0.2521286049433986, 0.9402575822857355]"
baseball-back-support-grip-foward-pike,"['knee-hook-back', 'knee-hold-one-knee-genie', 'fireman-seat']","[1.6905127547606327, 2.407186700169767, 2.4123577661389533]","['knee-hook-back', 'armpit-hold-seated', 'fireman-seat']","[1.202983845530703, 1.8818448915506991, 2.2246613842155085]","['iguana-grip-inverted-v', 'elbow-grip-straddle', 'cross-grip-straddle']","[0.05126490545821216, 0.13076486644016772, 0.13508633365407174]","['chair-seated', 'armpit-hold-forward-pike', 'reverse-grab-fang']","[0.28619505769975007, 0.31217813600623145, 0.7920413637698331]","['armpit-hold-seated', 'armpit-hold-forward-pike', 'fireman-piker']","[0.22014776472946807, 0.725398018523812, 1.0297393195876197]","['chair-seated', 'fireman-piker', 'reverse-grab-ballerina']","[1.1965877611494236, 1.7011046478400047, 1.8440285717926912]","['knee-hold-one-knee-genie', 'fireman-knee-hold', 'chair-pike']","[0.4259007693451977, 1.890713101315967, 1.898716910492027]"
