label,logr_classes,logr_distances,gini_classes,gini_distances,permutation_classes,permutation_distances,shap_classes,shap_distances
shoulder-mount-straddle,"['shoulder-mount-straddle', 'iguana-grip-pixie', 'superman-armpit-grip', 'handstand-pole']","[4.599716623648189e-14, 1.335528082792796e-14, 2.600421126752073e-14, 2.848417030049663e-14]","['shoulder-mount-straddle', 'split-grip-inverted-pencil', 'split-grip-inverted-d', 'thigh-hold-crescent-moon']","[17.509217715452042, 5.842044179561063, 14.15933088709339, 16.44933902725459]","['shoulder-mount-straddle', 'iguana-grip-pixie', 'flag-grip-straddle', 'superman-scissors']","[113.79086062633243, 68.90827698118082, 96.34432771079946, 133.74805093405266]","['shoulder-mount-straddle', 'split-grip-apprentice', 'iguana-grip-pixie', 'split-grip-tucked-passe']","[26.853188339669014, 15.925402993119144, 14.140855097021685, 29.743463868386385]"
leg-hang-scorpion,"['leg-hang-scorpion', 'leg-hang-gemini-foot-hold', 'strong-hold-inverted-split', 'split-grip-inverted-fang']","[3.050192214457989e-14, 3.8382752112818626e-14, 3.159640665675982e-14, 2.858376934052497e-14]","['leg-hang-scorpion', 'leg-hang-gemini-foot-hold', 'leg-hang-gemini', 'strong-hold-inverted-split']","[17.466858480754517, 13.639616244146296, 17.889735479442496, 15.030896621374623]","['leg-hang-scorpion', 'armpit-hold-dart', 'strong-hold-inverted-split', 'split-grip-backward-split']","[114.85864987019639, 91.96862015298002, 101.33672318452709, 113.37032625540547]","['leg-hang-scorpion', 'strong-hold-inverted-split', 'armpit-hold-dart', 'shoulder-mount']","[31.676573022642383, 19.360910509577735, 17.657828032956285, 25.04198744086498]"
strong-hold-corkscrew,"['strong-hold-corkscrew', 'fireman-seat', 'fireman-half-pike', 'knee-hold-remi-sit-release']","[9.442068163657e-15, 2.9548357112719145e-14, 4.0754643466138685e-14, 4.9443353557469206e-14]","['strong-hold-corkscrew', 'fireman-half-pike', 'split-grip-tucked-spin', 'knee-hold-remi-sit-release']","[3.929629824991636, 12.771204282986705, 23.210118152013745, 15.43441918944763]","['strong-hold-corkscrew', 'chair-passe', 'fireman-half-pike', 'split-grip-inverted-fang']","[35.33619029902613, 78.19756944756791, 141.09294661588115, 133.16822770925413]","['strong-hold-corkscrew', 'tuck-hold', 'chair-passe', 'leg-hold-inverted-crucifix']","[9.107031217593134, 20.475159178752214, 29.436986612590776, 37.687153438592375]"
strong-hold-straddle,"['strong-hold-straddle', 'cross-grip-straddle', 'wrist-sit-straddle', 'split-grip-straddle']","[5.043263350719746e-14, 1.5087829610117108e-14, 5.037264531074004e-14, 6.486385110936131e-15]","['strong-hold-straddle', 'cross-grip-straddle', 'split-grip-inverted-butterfly-extended', 'bridge']","[20.952747098034163, 6.595338859481098, 22.980904496125387, 11.529365209466524]","['strong-hold-straddle', 'cross-grip-straddle', 'wrist-sit-straddle', 'split-grip-pancake-split']","[159.1094127226208, 60.74891831040634, 174.9564841035462, 21.93413979716947]","['strong-hold-straddle', 'cross-grip-straddle', 'split-grip-pancake-split', 'wrist-sit-straddle']","[40.84527813750999, 14.413555312104736, 45.304079340052105, 26.19410725280402]"
handstand-forearm-attitude,"['handstand-forearm-attitude', 'handstand-butterfly', 'shoulder-mount-plank-passe-hold', 'reverse-grab-attitude']","[3.908062402200825e-14, 3.2916985143335964e-14, 3.077629506217361e-14, 1.9877731435444007e-14]","['handstand-forearm-attitude', 'handstand-butterfly', 'reverse-grab-attitude', 'crossed-knee-stargazer']","[22.893521260367447, 13.566832435575053, 11.187087955849922, 15.688412650345928]","['handstand-forearm-attitude', 'handstand-butterfly', 'reverse-grab-attitude', 'leg-hang-scorpion-hold']","[131.8227761642649, 88.64285589861689, 87.04677444789698, 116.53346395102133]","['handstand-forearm-attitude', 'handstand-butterfly', 'reverse-grab-attitude', 'leg-hang-scorpion-hold']","[35.01160505829944, 30.825467533150686, 25.916875088971103, 19.018508263084858]"
back-hold-allergra,"['back-hold-allergra', 'handstand-split', 'strong-hold-inverted-straddle', 'stomach-hold-passe-spaceflight']","[5.6383804616381194e-14, 1.2452050626834323e-14, 9.250815811742499e-15, 1.500566949492398e-14]","['back-hold-allergra', 'handstand-split', 'strong-hold-side-split', 'reverse-grab-straddle']","[25.854513243828176, 7.720236165248687, 4.884625655767002, 23.823202659876024]","['back-hold-allergra', 'stomach-hold-passe-spaceflight', 'knee-hold-marley-release', 'twisted-grip-inverted-straddle']","[147.525204845312, 96.70359283172415, 90.47283991423615, 68.99506287082792]","['back-hold-allergra', 'stomach-hold-passe-spaceflight', 'armpit-hold-passe', 'knee-hook-back']","[38.46740809497608, 25.982433589578307, 22.507672911801713, 11.16919363240902]"
armpit-hold-seated,"['armpit-hold-seated', 'fireman-seat', 'split-grip-inverted-butterfly', 'split-grip-side-spin']","[1.3085531169442637e-14, 4.9841260456092326e-14, 3.4169250438937774e-14, 4.7201317954005603e-14]","['armpit-hold-seated', 'iguana-grip-fang', 'thigh-hold-dragonfly-crossed', 'fireman-knee-hold']","[8.535854114305012, 16.90780541286494, 11.819771435250095, 18.174174757470343]","['armpit-hold-seated', 'armpit-hold-scorpion', 'thigh-hold-dragonfly-crossed', 'split-grip-inverted-fang']","[43.80930349171876, 141.1824585591885, 76.57661960576662, 157.9183836052117]","['armpit-hold-seated', 'thigh-hold-dragonfly-crossed', 'shoulder-mount-tuck', 'iguana-grip-fang']","[13.385361363851988, 32.76431090386701, 20.1396221248353, 19.944834943493593]"
thigh-hold-crescent-moon,"['thigh-hold-crescent-moon', 'elbow-grip-straddle', 'split-grip-inverted-d', 'shoulder-mount-princess-grip-straddle']","[5.247265175733898e-14, 2.0221243004060556e-14, 4.9922132849281616e-14, 2.8795561066010914e-14]","['thigh-hold-crescent-moon', 'split-grip-inverted-pencil', 'knee-hold-cupid', 'shoulder-mount-plank']","[19.584151758606396, 7.056065000105206, 6.006991540563399, 14.807184146208092]","['thigh-hold-crescent-moon', 'split-grip-inverted-d', 'shoulder-mount-princess-grip-straddle', 'knee-hold-cupid']","[164.1279175760225, 81.87826957785276, 34.28278993497618, 155.53052286809427]","['thigh-hold-crescent-moon', 'split-grip-inverted-pencil', 'shoulder-mount-princess-grip-straddle', 'superman']","[40.187561278362026, 15.818132603771991, 31.154612086424496, 26.383432996247183]"
iguana-grip-inverted-v,"['iguana-grip-inverted-v', 'wrist-sit-straddle', 'twisted-grip-inverted-straddle', 'split-grip-pancake-split']","[5.929746988859466e-14, 1.7163780129361293e-14, 5.021912542191678e-14, 5.6449055633600087e-14]","['iguana-grip-inverted-v', 'twisted-grip-inverted-straddle', 'wrist-sit-straddle', 'split-grip-pancake-split']","[23.734082037714888, 21.118076518494927, 14.658322961998566, 21.30733056782489]","['iguana-grip-inverted-v', 'wrist-sit-straddle', 'strong-hold-straddle', 'split-grip-pancake-split']","[176.33392624352996, 48.49815430091563, 72.48208438578328, 125.71803889651024]","['iguana-grip-inverted-v', 'wrist-sit-straddle', 'twisted-grip-inverted-straddle', 'thigh-hold-release']","[44.965386572590454, 11.061815235658207, 30.913199220506957, 9.263978530492425]"
iguana-grip-fang,"['iguana-grip-fang', 'thigh-hold-dragonfly-crossed', 'knee-hold-one-knee-genie', 'knee-hold-marley']","[2.01466869469158e-14, 3.399203927375117e-14, 3.449921938502174e-14, 4.9264771476106305e-14]","['iguana-grip-fang', 'thigh-hold-dragonfly-crossed', 'split-grip-stag', 'armpit-hold-seated']","[8.471477552206169, 13.53835752458218, 10.653844005501755, 16.91596967923691]","['iguana-grip-fang', 'thigh-hold-dragonfly-crossed', 'knee-hold-one-knee-genie', 'split-grip-inverted-fang']","[69.13305530394143, 88.72285164552672, 93.2699650710183, 135.60237882988204]","['iguana-grip-fang', 'leg-hold-inverted-crucifix', 'thigh-hold-dragonfly-crossed', 'armpit-hold-seated']","[15.780875193334161, 21.28326323272788, 27.98358815911357, 23.5881349486529]"
